id,label,handle,screen_name_length,digits_in_screen_name,user_name_length,time_offset,default_profile,default_picture,account_age,friends,followers,favorites,tweets,retweets,mentions,replies,retweeted
3098421349,1.0,cdsimcoecounty,14,0,20,-1,0,1,780,870,233,45,1252,1,1,0,0
554067867,1.0,tammylou01,10,2,11,-1,0,1,1849,1705,42,2974,5811,20,23,0,0
256597786,1.0,quest4Angus,11,1,8,-28800,0,1,2266,472,178,10,1165,1,13,6,0
103351486,1.0,ParaHunts_,10,0,15,-25200,1,1,2676,148,178,54,6013,0,0,0,0
199973582,1.0,kathyscrafts,12,0,13,-1,0,1,2404,1583,1526,2,76138,0,20,0,0
22942001,1.0,RCVSKnowledge,13,0,14,3600,1,1,2986,717,6035,264,3659,2,14,3,0
338914454,1.0,jane199685,10,6,16,28800,1,1,2119,70,19,449,1174,0,20,0,0
139758430,1.0,teakhollow,10,0,11,3600,0,1,2562,1238,585,1505,3517,20,28,0,0
2174620748,1.0,RobertFertman,13,0,14,-14400,0,1,1281,1993,658,1,467,0,3,2,0
3264569385,1.0,lurinuneqofi,12,0,20,-1,0,1,722,311,24,1264,1267,20,18,0,0
15109265,1.0,gerrycoe,8,0,9,3600,1,1,3251,510,623,492,3354,0,9,3,0
724324885,1.0,IDfotografer,12,0,16,25200,1,1,1744,42,12993,709,104388,0,0,0,0
35457209,1.0,UHS_Madison,11,0,14,-18000,1,1,2934,354,2301,280,4268,2,4,0,0
83683408,1.0,TheParkatAthens,15,0,18,-18000,1,1,2758,963,282,2,1146,0,0,0,0
575402168,1.0,WMNHorses,9,0,10,3600,1,1,1825,419,971,31,2415,6,36,1,0
1512772610,1.0,zayncringe,10,0,5,25200,1,1,1425,233,5,0,896,7,9,0,0
2512221956,1.0,FloodAlerts_LAN,15,0,17,3600,0,1,1083,3,95,0,77,10,10,0,0
3018439679,1.0,FTISLAND_USA,12,0,13,-1,0,1,824,75,1257,244,3649,1,13,0,0
434308370,1.0,YungswaggYs,11,0,19,-1,1,1,1975,2621,1423,2484,15420,1,2,0,0
3295996710,1.0,eOlympics,9,0,9,-25200,0,1,652,509,4699,7,3282,20,35,0,0
167561205,1.0,williemacedo,12,0,13,-10800,1,1,2487,146,112,8,4837,0,0,0,0
4422755772,1.0,Harrystyles_65,14,2,5,-1,0,0,524,663,56,16,415,20,20,0,0
1068221456,1.0,tota2048520,11,7,10,-1,0,1,1582,76,96,11,1782,0,0,0,0
3673821932,1.0,louie200211,11,6,9,-1,0,1,592,525,88,335,6560,20,26,0,0
72126063,1.0,PaOgR83,7,2,6,-21600,1,1,2801,1303,789,2994,47971,0,0,0,0
3233845421,1.0,starlabattaglia,15,0,20,-1,0,1,735,690,891,0,398,0,0,0,0
